EsovL845	4297260	3534972	0.823	349	340	340	334	321	297	0	5
EsovL015	5124768	4375181	0.854	346	343	343	338	323	292	0	2
EspaL068	4334087	3802581	0.877	350	344	343	337	324	294	0	2
EspaL386	3750194	3212923	0.857	350	344	343	336	320	292	0	2
EspaL868	2959796	2342392	0.791	348	341	340	335	321	296	0	3
EspeL017	4167615	3598186	0.863	347	343	343	337	324	295	0	1
EspeL812	4218390	3293625	0.781	349	338	337	331	317	291	0	3
EspeL866	3120277	2541147	0.814	347	343	343	337	323	296	0	2
EspiL529	2103431	1779609	0.846	352	343	343	337	323	296	0	1
EspiLA07	3072830	2540282	0.827	350	344	343	337	322	296	0	1
EspsL715	1930824	1483359	0.768	347	343	343	337	323	297	0	1
EspsL792	2649331	2126800	0.803	347	339	339	333	319	291	0	1
EsraL805	2647539	2080315	0.786	347	339	339	334	320	298	0	3
EsraL835	2161956	1697971	0.785	345	339	339	333	320	286	0	1
EsrhL578	2685303	2126358	0.792	346	342	342	336	321	294	0	2
EsriL236	3487076	2892936	0.830	345	344	343	337	324	302	0	4
EsroL664	2996804	2412345	0.805	347	343	343	337	324	297	0	0
EsroL539	2979127	2695141	0.905	349	345	343	337	323	294	0	1
EsruL940	1704330	1283881	0.753	346	341	341	336	323	304	0	2
EssaL335	2529631	2035754	0.805	347	344	343	338	323	295	0	2
EsseL345	2336633	1903106	0.814	347	340	339	333	321	293	0	2
EsteL302	1169053	899117	0.769	346	332	332	326	311	290	0	1
EscoL546	2543538	2344583	0.922	349	332	331	323	310	276	0	1
EspiL551	4358516	3822842	0.877	348	343	343	337	323	299	0	2
LechL653	2727880	2382657	0.873	349	344	343	336	323	292	0	1
EsteL690	3912979	3190393	0.815	348	344	343	338	323	298	0	3
EsspL781	3710189	3152520	0.850	347	344	343	337	324	293	0	1
EsspL785	1976741	1549622	0.784	347	342	342	336	322	295	0	1
EsamL886	5391704	4785306	0.888	349	345	343	338	322	291	0	3
EsimL394	5765588	5068675	0.879	350	345	343	337	323	299	0	5
EsspL532	3509766	3119354	0.889	351	344	343	337	323	293	0	1
EsspL533	3894608	3282993	0.843	349	346	343	337	323	296	0	1
EsspL538	3506176	3048996	0.870	352	345	343	337	322	294	0	1
